country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GMB,Gambia,2,0.8899 (COM),0.8264 (BEN),0.8684 (BEN),0.8477 (BEN),0.8673 (SLE),0.8695 (GNB),0.8744 (BEN),0.8734 (BEN),0.8655 (BEN),0.8852 (BEN),0.9053 (BEN),0.8900 (BEN),0.8848 (BEN),0.8850 (GNB),0.8812 (BEN)
GMB,Gambia,3,0.8492 (SLE),0.8226 (COM),0.8405 (GNB),0.8463 (GNB),0.8449 (GNB),0.8628 (BEN),0.8639 (HTI),0.8481 (CMR),0.8390 (CIV),0.8769 (CIV),0.8974 (CAF),0.8846 (TGO),0.8698 (COM),0.8746 (CAF),0.8700 (SLE)
GNB,Guinea-Bissau,1,0.9115 (MOZ),0.9106 (BEN),0.8906 (TGO),0.9144 (BEN),0.8969 (COM),0.8824 (MDG),0.9316 (TGO),0.8887 (MDG),0.8712 (SEN),0.9465 (TGO),0.9290 (TGO),0.9260 (TGO),0.9166 (TGO),0.9430 (TGO),0.9325 (TGO)
GNB,Guinea-Bissau,2,0.8967 (COM),0.8936 (COM),0.8759 (COM),0.9046 (MLI),0.8954 (BFA),0.8822 (TGO),0.9122 (BEN),0.8810 (CAF),0.8678 (CAF),0.9070 (MDG),0.9230 (BEN),0.9098 (BEN),0.9098 (BEN),0.9230 (BEN),0.9131 (NER)
GNB,Guinea-Bissau,3,0.8957 (BFA),0.8875 (TGO),0.8669 (MLI),0.8983 (COM),0.8797 (MDG),0.8718 (MOZ),0.9024 (CAF),0.8744 (MWI),0.8512 (TGO),0.9038 (BEN),0.9003 (NER),0.9047 (NER),0.9020 (NER),0.9187 (NER),0.9111 (MLI)
GNQ,Equatorial Guinea,1,0.7433 (MRT),0.8325 (GAB),0.7647 (COG),0.7617 (COG),0.8104 (GAB),0.7393 (COG),0.8870 (COG),0.8628 (COG),0.8251 (COG),0.7337 (COG),0.7674 (COG),0.7624 (COG),0.7507 (COG),0.6404 (COG),0.7337 (NAM)
GNQ,Equatorial Guinea,2,0.6973 (GAB),0.8022 (COG),0.7141 (IRQ),0.6998 (IRQ),0.6831 (IRQ),0.7035 (GAB),0.7347 (GAB),0.7747 (GAB),0.7381 (GAB),0.7083 (NAM),0.7371 (GAB),0.7202 (GAB),0.7215 (GAB),0.6024 (BWA),0.7230 (COG)
GNQ,Equatorial Guinea,3,0.6941 (AGO),0.7523 (MRT),0.7034 (AGO),0.6564 (AGO),0.6522 (AGO),0.7019 (AGO),0.6186 (NAM),0.7224 (NAM),0.7253 (AGO),0.6070 (LBY),0.6401 (NAM),0.6986 (AGO),0.7027 (BWA),0.6015 (AGO),0.7167 (BWA)
GRC,Greece,1,0.8772 (ESP),0.8883 (PRT),0.9427 (ESP),0.9359 (ESP),0.9428 (ESP),0.9100 (ESP),0.9210 (ESP),0.9174 (ESP),0.9068 (ESP),0.8858 (ESP),0.9006 (ESP),0.8694 (ITA),0.8825 (HRV),0.8708 (FRA),0.8906 (SWE)
GRC,Greece,2,0.8654 (HRV),0.8850 (ESP),0.9375 (PRT),0.8958 (PRT),0.9172 (PRT),0.9035 (PRT),0.8894 (PRT),0.8807 (ITA),0.8670 (ITA),0.8643 (FRA),0.8701 (FRA),0.8692 (ESP),0.8547 (ITA),0.8660 (ESP),0.8867 (ESP)
GRC,Greece,3,0.8577 (ITA),0.8429 (ITA),0.8919 (HRV),0.8785 (HRV),0.8781 (ITA),0.8910 (ITA),0.8823 (ITA),0.8722 (FRA),0.8604 (FRA),0.8544 (PRT),0.8636 (ITA),0.8464 (HRV),0.8374 (ESP),0.8490 (ITA),0.8748 (FRA)
GTM,Guatemala,1,0.8373 (SEN),0.8112 (SEN),0.7941 (SEN),0.8190 (KEN),0.8336 (KEN),0.7922 (PAK),0.7599 (KEN),0.7620 (PAK),0.7648 (CIV),0.7688 (CIV),0.7954 (CIV),0.7695 (CIV),0.7271 (PAK),0.7266 (BGD),0.7847 (BEN)
GTM,Guatemala,2,0.8037 (BEN),0.7954 (KEN),0.7730 (TGO),0.8039 (PAK),0.8195 (PAK),0.7833 (CIV),0.7564 (CIV),0.7286 (BEN),0.7159 (PAK),0.7579 (PAK),0.7692 (PAK),0.7260 (BEN),0.7176 (BGD),0.6543 (PAK),0.7733 (CIV)
GTM,Guatemala,3,0.7942 (PAK),0.7924 (BEN),0.7711 (BEN),0.8029 (BEN),0.7973 (BEN),0.7657 (KEN),0.7512 (PAK),0.7190 (CIV),0.7116 (BEN),0.7252 (SLE),0.7527 (SLE),0.6683 (BGD),0.7099 (CIV),0.6152 (ETH),0.7437 (ETH)
